escola,municipio,estado,ano,arquivo,disciplina,acertos_medios,total_questoes,percentual_acertos,proficiencia,nivel
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,15.0,22.0,69.99,56.9,Aprendizado intermediário
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 3º ANO.pdf,Matemática,15.0,22.0,69.32,53.7,Aprendizado intermediário
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,14.0,22.0,64.5,57.6,Aprendizado intermediário
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 4º ANO.pdf,Matemática,12.0,22.0,56.24,44.6,Aprendizado intermediário
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,13.0,22.0,57.94,54.2,Aprendizado intermediário
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 5º ANO.pdf,Matemática,10.0,22.0,46.29,32.2,Aprendizado intermediário
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,14.0,22.0,64.24,49.1,Aprendizado intermediário
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 2º ANO.pdf,Matemática,16.0,22.0,70.61,46.5,Aprendizado intermediário
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,12.0,22.0,54.01,27.8,Defasagem
ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIZADA AMELIA DE LIMA E SILVA\Consolidado Saex - 3º ANO.pdf,Matemática,11.0,22.0,48.48,25.1,Defasagem
